,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
69,TEVA,Teva Pharmaceutical Industries Limited,14.97B,-1.10%,10732415,15.85B
70,DGX,Quest Diagnostics Incorporated,14.33B,-1.77%,986915,9.25B
71,VTRS,Viatris Inc.,14.01B,-1.91%,10449322,15.43B
72,NBIX,"Neurocrine Biosciences, Inc.",13.85B,-1.86%,1165893,1.89B
73,CRL,"Charles River Laboratories International, Inc.",13.41B,-0.26%,392556,4.13B
74,INCY,Incyte Corporation,13.23B,-0.64%,1215038,3.70B
75,RVTY,"Revvity, Inc.",12.96B,-2.89%,914226,2.75B
76,BRKR,Bruker Corporation,12.75B,-0.83%,784970,2.96B
77,RDY,Dr. Reddy's Laboratories Limited,12.63B,0.24%,136653,2.99B
78,MEDP,"Medpace Holdings, Inc.",12.51B,-0.80%,242029,1.89B
79,LEGN,Legend Biotech Corporation,12.28B,-2.79%,1271650,285.14M
80,KRTX,"Karuna Therapeutics, Inc.",12.28B,2.41%,3216084,654.00K
81,PODD,Insulet Corporation,12.27B,-4.47%,1055875,1.70B
82,SNN,Smith & Nephew plc,12.12B,-1.22%,543754,5.55B
83,DVA,DaVita Inc.,12.07B,-1.64%,539186,12.14B
84,UHS,"Universal Health Services, Inc.",11.62B,-0.85%,478543,14.28B
85,SRPT,"Sarepta Therapeutics, Inc.",11.61B,1.48%,629112,1.24B
86,FMS,Fresenius Medical Care AG & Co. KGaA,11.53B,-2.24%,460156,21.62B
87,TECH,Bio-Techne Corporation,11.39B,-1.75%,1320249,1.14B
88,UTHR,United Therapeutics Corporation,11.21B,-1.31%,347254,2.33B
89,RGEN,Repligen Corporation,10.84B,-0.42%,389978,638.76M
90,EXAS,Exact Sciences Corporation,10.63B,-4.17%,1808992,2.50B
91,NTRA,"Natera, Inc.",10.57B,-1.41%,1400884,1.08B
92,TFX,Teleflex Incorporated,10.35B,-1.78%,228612,2.97B
93,CTLT,"Catalent, Inc.",10.24B,0.18%,1634476,4.10B
94,SWAV,"ShockWave Medical, Inc.",10.07B,-1.16%,445155,730.23M
95,THC,Tenet Healthcare Corporation,10.00B,-0.34%,1348028,20.56B
96,CHE,Chemed Corporation,9.83B,0.53%,61119,2.26B
97,QGEN,Qiagen N.V.,9.80B,-0.61%,720883,1.97B
98,HSIC,"Henry Schein, Inc.",9.68B,-1.26%,1182921,12.34B
99,BIO.B,"Bio-Rad Laboratories, Inc.",9.57B,1.70%,11,-
100,BIO,"Bio-Rad Laboratories, Inc.",9.48B,-1.20%,148050,2.67B
101,ATR,"AptarGroup, Inc.",9.32B,-0.16%,228599,3.49B
102,PEN,"Penumbra, Inc.",8.96B,-1.66%,238514,1.06B
103,ROIV,Roivant Sciences Ltd.,8.56B,-3.67%,5360308,123.24M
104,ASND,Ascendis Pharma A/S,8.52B,-2.65%,231998,296.35M
105,STVN,Stevanato Group S.p.A.,7.93B,-1.07%,187479,1.21B
106,ELAN,Elanco Animal Health Incorporated,7.84B,-1.01%,2837333,4.42B
107,CERE,"Cerevel Therapeutics Holdings, Inc.",7.68B,0.07%,1744294,-
108,PCVX,"Vaxcyte, Inc.",7.65B,-5.42%,650263,-
109,EHC,Encompass Health Corporation,7.62B,-1.33%,517711,4.80B
110,GMED,"Globus Medical, Inc.",7.49B,-6.29%,2936427,1.57B
111,JAZZ,Jazz Pharmaceuticals plc,7.34B,0.45%,587038,3.83B
112,ACHC,"Acadia Healthcare Company, Inc.",7.23B,0.65%,762720,2.93B
113,MASI,Masimo Corporation,7.10B,-1.43%,441028,2.05B
114,XRAY,DENTSPLY SIRONA Inc.,7.08B,-3.37%,1778897,3.97B
115,VKTX,"Viking Therapeutics, Inc.",7.02B,-9.60%,6531952,-
116,HQY,"HealthEquity, Inc.",7.00B,-0.83%,374159,971.04M
117,ENSG,"The Ensign Group, Inc.",6.99B,-1.15%,237327,3.73B
118,EXEL,"Exelixis, Inc.",6.86B,-1.99%,2429942,1.83B
119,APLS,"Apellis Pharmaceuticals, Inc.",6.81B,-1.53%,1550095,396.59M
120,CYTK,"Cytokinetics, Incorporated",6.66B,-1.36%,2645644,7.53M
121,ITCI,"Intra-Cellular Therapies, Inc.",6.31B,-0.98%,609960,464.37M
122,IONS,"Ionis Pharmaceuticals, Inc.",6.17B,-2.27%,1324724,787.65M
123,CRSP,CRISPR Therapeutics AG,5.77B,-3.70%,1726751,371.21M
124,RCM,R1 RCM Inc.,5.72B,-2.01%,2759906,2.25B
125,BLCO,Bausch + Lomb Corporation,5.68B,-1.86%,143906,4.15B
126,NUVL,"Nuvalent, Inc.",5.66B,-4.31%,487386,-
127,OPCH,"Option Care Health, Inc.",5.62B,-1.88%,1193142,4.30B
128,INSP,"Inspire Medical Systems, Inc.",5.61B,1.26%,423274,624.80M
129,RVMD,"Revolution Medicines, Inc.",5.48B,-3.82%,1766466,11.58M
130,BPMC,Blueprint Medicines Corporation,5.42B,-3.19%,522631,249.38M
131,HALO,"Halozyme Therapeutics, Inc.",5.24B,-1.35%,1429514,829.25M
132,DOCS,"Doximity, Inc.",5.20B,-0.18%,1410327,468.33M
133,BBIO,"BridgeBio Pharma, Inc.",5.20B,-2.91%,2340835,9.30M
134,MDGL,"Madrigal Pharmaceuticals, Inc.",4.98B,9.82%,1468888,-
135,BHVN,Biohaven Pharmaceutical Holding Company Ltd.,4.88B,-5.57%,1982361,-
136,KRYS,"Krystal Biotech, Inc.",4.86B,-4.19%,520576,50.70M
137,ALKS,Alkermes plc,4.81B,0.31%,1547665,1.66B
138,GRFS,"Grifols, S.A.",4.79B,-9.15%,3905596,6.45B
139,OGN,Organon & Co.,4.69B,-1.02%,2249585,6.26B
140,IMVT,"Immunovant, Inc.",4.62B,-3.52%,1576040,-
141,TXG,"10x Genomics, Inc.",4.59B,-3.37%,1466311,618.73M
142,GKOS,Glaukos Corporation,4.25B,-2.09%,369781,314.71M
143,MMSI,"Merit Medical Systems, Inc.",4.23B,-1.48%,573890,1.26B
144,PRGO,Perrigo Company plc,4.20B,-0.48%,1731054,4.66B
145,ALVO,Alvotech,4.09B,-0.39%,110983,63.75M
146,LNTH,"Lantheus Holdings, Inc.",4.08B,0.25%,696434,1.30B
147,RARE,Ultragenyx Pharmaceutical Inc.,4.00B,-3.91%,1046084,434.25M
148,SHC,Sotera Health Company,3.97B,1.72%,1738563,1.05B
149,IOVA,"Iovance Biotherapeutics, Inc.",3.96B,-3.53%,6854859,1.19M
150,INSM,Insmed Incorporated,3.91B,-5.50%,2035218,305.21M
151,HAE,Haemonetics Corporation,3.88B,-0.97%,276648,1.27B
152,ITGR,Integer Holdings Corporation,3.84B,0.83%,184060,1.60B
153,EVH,"Evolent Health, Inc.",3.82B,-0.77%,543808,1.96B
154,SWTX,"SpringWorks Therapeutics, Inc.",3.78B,-3.45%,771666,5.45M
155,NVST,Envista Holdings Corporation,3.73B,-0.46%,2874777,2.57B
156,ACLX,"Arcellx, Inc.",3.72B,-1.39%,415232,110.32M
157,CBAY,"CymaBay Therapeutics, Inc.",3.72B,0.09%,2471307,31.07M
158,PBH,Prestige Consumer Healthcare Inc.,3.68B,-1.40%,223079,1.13B
159,SEM,Select Medical Holdings Corporation,3.67B,-1.33%,368568,6.66B
160,SGRY,"Surgery Partners, Inc.",3.64B,0.24%,734005,2.74B
161,AZTA,"Azenta, Inc.",3.58B,-7.57%,777232,641.02M
162,ARWR,"Arrowhead Pharmaceuticals, Inc.",3.54B,-4.09%,1579877,181.74M
163,PGNY,"Progyny, Inc.",3.54B,-3.52%,810793,1.09B
164,FOLD,"Amicus Therapeutics, Inc.",3.49B,-2.29%,2284245,399.36M
165,AXNX,"Axonics, Inc.",3.46B,0.01%,375051,366.38M
166,IDYA,"IDEAYA Biosciences, Inc.",3.41B,-1.99%,761090,23.39M
167,BHC,Bausch Health Companies Inc.,3.39B,-2.05%,1013157,8.76B
168,NEOG,Neogen Corporation,3.38B,-2.31%,1493185,918.68M
169,AXSM,"Axsome Therapeutics, Inc.",3.33B,-0.23%,875226,270.60M
170,XENE,Xenon Pharmaceuticals Inc.,3.32B,-3.13%,281447,-
171,RDNT,"RadNet, Inc.",3.32B,-2.58%,652135,1.62B
172,IBRX,"ImmunityBio, Inc.",3.28B,-3.35%,2663881,556.00K
173,IRTC,"iRhythm Technologies, Inc.",3.26B,0.19%,307462,492.68M
174,SMMT,Summit Therapeutics Inc.,3.26B,5.32%,2065589,-
175,ACAD,ACADIA Pharmaceuticals Inc.,3.22B,-4.24%,2697567,726.44M
176,ARVN,"Arvinas, Inc.",3.16B,-3.79%,991992,78.50M
177,CRNX,"Crinetics Pharmaceuticals, Inc.",3.16B,-5.65%,791272,4.01M
178,OSCR,"Oscar Health, Inc.",3.15B,-2.25%,2103189,5.86B
179,QDEL,QuidelOrtho Corporation,3.14B,0.47%,1061190,3.00B
180,BEAM,Beam Therapeutics Inc.,3.05B,-7.39%,1734859,377.71M
181,AMED,"Amedisys, Inc.",3.05B,-0.50%,241986,2.24B
182,CERT,"Certara, Inc.",3.01B,-2.66%,696512,354.34M
183,OLK,Olink Holding AB (publ),2.98B,-,156916,158.93M
184,IMCR,Immunocore Holdings plc,2.97B,-2.72%,425904,249.43M
185,INDV,Indivior PLC,2.86B,-,155439,1.09B
186,HCM,HUTCHMED (China) Limited,2.83B,-9.59%,245492,838.00M
187,MLTX,MoonLake Immunotherapeutics,2.82B,-2.49%,446874,-
188,IART,Integra LifeSciences Holdings Corporation,2.80B,-2.60%,665386,1.54B
189,LIVN,LivaNova PLC,2.76B,-2.22%,621224,1.15B
190,DNLI,Denali Therapeutics Inc.,2.75B,-5.50%,1208548,330.53M
191,CLDX,"Celldex Therapeutics, Inc.",2.74B,-6.18%,896829,6.88M
192,MOR,MorphoSys AG,2.72B,-0.55%,429231,264.75M
193,TMDX,"TransMedics Group, Inc.",2.69B,-4.30%,795572,241.62M
194,GDRX,"GoodRx Holdings, Inc.",2.68B,-5.18%,1297066,750.27M
195,NTLA,"Intellia Therapeutics, Inc.",2.63B,-4.01%,2007998,36.28M
196,MRUS,Merus N.V.,2.61B,-1.59%,808578,43.95M
197,EVO,Evotec SE,2.56B,-,78983,-
198,PRCT,PROCEPT BioRobotics Corporation,2.56B,-4.96%,417207,136.19M
199,RCKT,"Rocket Pharmaceuticals, Inc.",2.55B,-3.12%,879153,-
200,RXRX,"Recursion Pharmaceuticals, Inc.",2.53B,-1.82%,10010919,44.58M
201,PINC,"Premier, Inc.",2.53B,0.48%,1744670,1.32B
202,DNA,"Ginkgo Bioworks Holdings, Inc.",2.52B,-9.40%,41027554,251.46M
203,CORT,Corcept Therapeutics Incorporated,2.51B,-2.19%,763543,482.38M
204,FTRE,Fortrea Holdings Inc.,2.49B,0.62%,990118,3.11B
205,TDOC,"Teladoc Health, Inc.",2.48B,-1.98%,4238869,2.60B
206,CGON,"CG Oncology, Inc.",2.47B,-6.51%,725671,191.00K
207,KYMR,"Kymera Therapeutics, Inc.",2.45B,-6.60%,888486,78.59M
208,ICUI,"ICU Medical, Inc.",2.44B,-2.54%,291002,2.26B
209,VERA,"Vera Therapeutics, Inc.",2.43B,-3.82%,739545,-
210,TGTX,"TG Therapeutics, Inc.",2.43B,-2.35%,3388355,233.66M
211,LFST,"LifeStance Health Group, Inc.",2.43B,-3.48%,1112292,1.06B
212,PDCO,"Patterson Companies, Inc.",2.43B,-0.92%,684484,6.57B
213,CNMD,CONMED Corporation,2.42B,-8.04%,612393,1.24B
214,PRVA,"Privia Health Group, Inc.",2.42B,-1.45%,575752,1.66B
215,RYTM,"Rhythm Pharmaceuticals, Inc.",2.41B,-2.32%,442467,77.43M
216,NARI,"Inari Medical, Inc.",2.37B,-0.92%,789992,493.63M
217,PTCT,"PTC Therapeutics, Inc.",2.36B,-6.17%,854888,937.82M
218,NMRA,"Neumora Therapeutics, Inc.",2.35B,2.16%,887467,-
219,ALPN,"Alpine Immune Sciences, Inc.",2.35B,-1.97%,1365088,30.80M
220,KROS,"Keros Therapeutics, Inc.",2.35B,-4.18%,305780,151.00K
221,GH,"Guardant Health, Inc.",2.31B,-3.32%,2208907,563.95M
222,DYN,"Dyne Therapeutics, Inc.",2.28B,-3.93%,1258614,-
223,GLPG,Galapagos NV,2.26B,-1.30%,70131,-
224,AMN,"AMN Healthcare Services, Inc.",2.19B,-3.52%,950271,3.79B
225,AGL,"agilon health, inc.",2.14B,-1.32%,5596167,4.32B
226,VCEL,Vericel Corporation,2.12B,-0.67%,401656,197.52M
227,AMPH,"Amphastar Pharmaceuticals, Inc.",2.08B,-0.83%,367961,644.40M
228,TWST,Twist Bioscience Corporation,2.05B,-2.76%,755996,262.36M
229,NAMS,NewAmsterdam Pharma Company N.V.,2.04B,-1.66%,94924,15.66M
230,ZLAB,Zai Lab Limited,2.00B,-3.03%,493389,266.72M
231,SANA,"Sana Biotechnology, Inc.",1.99B,-8.12%,1755528,-
232,CPRX,"Catalyst Pharmaceuticals, Inc.",1.96B,-2.59%,1291721,398.20M
233,JANX,"Janux Therapeutics, Inc.",1.95B,-5.39%,539975,8.08M
234,SNDX,"Syndax Pharmaceuticals, Inc.",1.93B,-4.67%,962231,-
235,AKRO,"Akero Therapeutics, Inc.",1.93B,-2.15%,3222371,-
236,OMI,"Owens & Minor, Inc.",1.92B,-0.32%,435827,10.33B
237,SDGR,"Schrödinger, Inc.",1.92B,-2.83%,1045070,216.67M
238,RNA,"Avidity Biosciences, Inc.",1.91B,-3.46%,2369639,9.56M
239,MYGN,"Myriad Genetics, Inc.",1.91B,-0.98%,510799,753.20M
240,ARDX,"Ardelyx, Inc.",1.91B,-7.06%,5771484,124.46M
241,NEO,"NeoGenomics, Inc.",1.88B,-4.78%,755046,591.64M
242,TNDM,"Tandem Diabetes Care, Inc.",1.88B,-2.20%,1496187,747.72M
243,MRVI,"Maravai LifeSciences Holdings, Inc.",1.87B,-7.47%,2199522,288.95M
244,STAA,STAAR Surgical Company,1.86B,-0.31%,894082,322.42M
245,ASTH,Astrana Health Inc,1.86B,-2.22%,148257,1.39B
246,INMD,InMode Ltd.,1.85B,-2.69%,1435201,492.05M
247,ATEC,"Alphatec Holdings, Inc.",1.84B,-3.19%,1546442,482.26M
248,SUPN,"Supernus Pharmaceuticals, Inc.",1.83B,-3.72%,489875,607.52M
249,PROK,ProKidney Corp.,1.81B,-8.72%,752746,-
250,RXST,"RxSight, Inc.",1.80B,-5.21%,515367,89.08M
251,MORF,"Morphic Holding, Inc.",1.73B,-0.17%,371940,521.00K
252,RCUS,"Arcus Biosciences, Inc.",1.73B,-3.83%,762965,117.00M
253,HRMY,"Harmony Biosciences Holdings, Inc.",1.72B,4.78%,549963,582.02M
254,KURA,"Kura Oncology, Inc.",1.69B,-3.72%,1141267,-
255,AGIO,"Agios Pharmaceuticals, Inc.",1.69B,-1.80%,539440,26.82M
256,VCYT,"Veracyte, Inc.",1.67B,-3.67%,650380,361.05M
257,PTGX,"Protagonist Therapeutics, Inc.",1.67B,-6.13%,984062,60.00M
258,INBX,"Inhibrx, Inc.",1.66B,-1.02%,508303,1.80M
259,AMRX,"Amneal Pharmaceuticals, Inc.",1.66B,-0.19%,1057912,2.39B
260,GPCR,Structure Therapeutics Inc.,1.64B,3.78%,767985,-
261,USPH,"U.S. Physical Therapy, Inc.",1.62B,-1.05%,50411,604.80M
262,APGE,"Apogee Therapeutics, Inc.",1.62B,-6.60%,695143,-
263,ADUS,Addus HomeCare Corporation,1.59B,-1.06%,135784,1.06B
264,EWTX,"Edgewise Therapeutics, Inc.",1.59B,-1.95%,541125,-
265,TARO,Taro Pharmaceutical Industries Ltd.,1.58B,-0.09%,24174,610.83M
266,DVAX,Dynavax Technologies Corporation,1.57B,-1.23%,1745801,232.28M
267,NVCR,NovoCure Limited,1.56B,-1.42%,811321,509.34M
268,ATRC,"AtriCure, Inc.",1.55B,-4.32%,1087900,399.25M
269,PRTA,Prothena Corporation plc,1.54B,-7.41%,676253,91.37M
270,IRON,"Disc Medicine, Inc.",1.52B,-3.71%,206347,-
271,UFPT,"UFP Technologies, Inc.",1.49B,-1.80%,37020,400.07M
272,LMAT,"LeMaitre Vascular, Inc.",1.49B,1.34%,158639,193.48M
273,VIR,"Vir Biotechnology, Inc.",1.48B,-3.93%,1056588,86.18M
274,AVDL,Avadel Pharmaceuticals plc,1.46B,0.12%,887038,27.96M
275,FDMT,"4D Molecular Therapeutics, Inc.",1.45B,-0.10%,715033,20.72M
276,KNSA,"Kiniksa Pharmaceuticals, Ltd.",1.44B,-0.54%,333285,270.26M
277,XNCR,"Xencor, Inc.",1.43B,-5.69%,893639,168.34M
278,NHC,National HealthCare Corporation,1.43B,-1.49%,58831,1.14B
279,BTSG,"BrightSpring Health Services, Inc.",1.41B,-5.94%,2834493,8.83B
280,PCRX,"Pacira BioSciences, Inc.",1.41B,-3.40%,430532,674.98M
281,ANIP,"ANI Pharmaceuticals, Inc.",1.39B,-0.27%,101520,486.82M
282,AHCO,AdaptHealth Corp.,1.38B,-2.03%,1358104,3.20B
283,ABCL,AbCellera Biologics Inc.,1.37B,-4.28%,1513357,38.03M
284,ADMA,"ADMA Biologics, Inc.",1.37B,-3.83%,3001359,258.22M
285,ESTA,Establishment Labs Holdings Inc.,1.37B,-4.26%,365794,165.15M
286,OCUL,"Ocular Therapeutix, Inc.",1.37B,-3.44%,2191734,58.44M
287,SLNO,"Soleno Therapeutics, Inc.",1.36B,-4.21%,433154,-
288,WRBY,Warby Parker Inc.,1.36B,2.00%,1063919,669.77M
289,IRWD,"Ironwood Pharmaceuticals, Inc.",1.35B,3.82%,4328954,442.74M
290,AGTI,"Agiliti, Inc.",1.35B,-,1020375,1.17B
291,IMNM,"Immunome, Inc.",1.32B,-5.32%,441278,10.19M
292,PHR,"Phreesia, Inc.",1.30B,-2.91%,974634,337.88M
293,MIRM,"Mirum Pharmaceuticals, Inc.",1.29B,1.44%,827822,144.73M
294,LGND,Ligand Pharmaceuticals Incorporated,1.29B,-1.14%,202834,-
295,DCPH,"Deciphera Pharmaceuticals, Inc.",1.29B,-0.44%,505870,163.36M
296,AUTL,Autolus Therapeutics plc,1.27B,4.01%,2941177,5.52M
297,ARQT,"Arcutis Biotherapeutics, Inc.",1.27B,-1.08%,3145928,59.61M
298,OMCL,"Omnicell, Inc.",1.27B,-0.61%,442992,1.15B
299,TLRY,"Tilray Brands, Inc.",1.26B,-4.19%,11779479,700.50M
300,VRNA,Verona Pharma plc,1.25B,-6.89%,531044,-
301,PHVS,Pharvaris N.V.,1.25B,0.77%,57845,-
302,ETNB,"89bio, Inc.",1.24B,-5.26%,1807523,-
303,MNKD,MannKind Corporation,1.24B,-1.96%,2433339,198.96M
304,DAWN,"Day One Biopharmaceuticals, Inc.",1.24B,-4.70%,630546,-
305,SAGE,"Sage Therapeutics, Inc.",1.21B,-3.88%,752890,86.46M
306,COLL,"Collegium Pharmaceutical, Inc.",1.21B,-0.70%,373210,566.77M
307,KYTX,"Kyverna Therapeutics, Inc.",1.21B,-1.80%,166903,7.03M
308,IMTX,Immatics N.V.,1.20B,0.84%,466284,80.56M
309,SRRK,Scholar Rock Holding Corporation,1.18B,-9.77%,859134,-
310,BKD,Brookdale Senior Living Inc.,1.17B,-5.02%,1357022,3.02B
311,MDXG,"MiMedx Group, Inc.",1.17B,-1.89%,985495,321.48M
312,VERV,"Verve Therapeutics, Inc.",1.16B,-5.16%,970986,11.76M
313,TARS,"Tarsus Pharmaceuticals, Inc.",1.15B,-6.12%,841866,17.45M
314,PACB,"Pacific Biosciences of California, Inc.",1.14B,-7.78%,11856204,200.52M
315,BLTE,"Belite Bio, Inc",1.13B,-0.55%,145168,-
316,LQDA,Liquidia Corporation,1.12B,4.01%,1688534,17.49M
317,RLAY,"Relay Therapeutics, Inc.",1.11B,-10.61%,1195422,25.55M
318,EYPT,"EyePoint Pharmaceuticals, Inc.",1.10B,-1.58%,910263,46.02M
319,VRDN,"Viridian Therapeutics, Inc.",1.07B,-3.14%,977777,314.00K
320,RGNX,REGENXBIO Inc.,1.07B,-2.76%,463325,90.24M
321,ZNTL,"Zentalis Pharmaceuticals, Inc.",1.06B,-8.11%,1059003,-
322,ARCT,Arcturus Therapeutics Holdings Inc.,1.04B,-4.04%,479297,166.80M
323,MGNX,"MacroGenics, Inc.",1.03B,-3.02%,2013191,58.75M
324,CNTA,Centessa Pharmaceuticals plc,1.02B,-3.50%,167992,-
325,BCRX,"BioCryst Pharmaceuticals, Inc.",1.01B,-4.86%,3966620,331.41M
326,QTRX,Quanterix Corporation,1.00B,0.27%,215835,122.37M
327,ORIC,"ORIC Pharmaceuticals, Inc.",996.49M,-1.38%,579428,-
328,TVGN,Tevogen Bio Holdings Inc,996.10M,-,4077,-
329,SYRE,"Spyre Therapeutics, Inc.",990.58M,-5.82%,386088,886.00K
330,SLN,Silence Therapeutics plc,990.34M,-6.95%,307030,32.12M
331,ZJYL,Jin Medical International Ltd.,987.81M,-,135890,19.19M
332,TYRA,"Tyra Biosciences, Inc.",980.94M,-5.28%,87903,-
333,BCYC,Bicycle Therapeutics plc,967.84M,-10.22%,244515,26.98M
334,DH,Definitive Healthcare Corp.,963.56M,-1.16%,388466,251.42M
335,NRC,National Research Corporation,955.85M,-1.00%,32905,148.58M
336,GERN,Geron Corporation,955.60M,78.29%,9940570,237.00K
337,CRGX,"CARGO Therapeutics, Inc.",941.12M,-9.15%,506324,-
338,TNGX,"Tango Therapeutics, Inc.",940.35M,-1.41%,1157712,37.51M
339,INVA,"Innoviva, Inc.",932.60M,-0.20%,885379,310.46M
340,PRME,"Prime Medicine, Inc.",929.77M,-13.18%,1033911,-
341,PLRX,"Pliant Therapeutics, Inc.",926.48M,-3.12%,460543,1.58M
342,ALHC,"Alignment Healthcare, Inc.",912.76M,-3.60%,1077608,1.82B
343,AVNS,"Avanos Medical, Inc.",902.81M,-2.87%,308761,673.30M
344,HCSG,"Healthcare Services Group, Inc.",894.77M,-0.33%,372021,1.67B
345,SAVA,"Cassava Sciences, Inc.",892.60M,0.19%,1027805,-
346,CTKB,"Cytek Biosciences, Inc.",881.02M,1.19%,955144,193.02M
347,HLVX,"HilleVax, Inc.",871.87M,-1.67%,84639,-
348,CABA,"Cabaletta Bio, Inc.",867.27M,-6.32%,1440683,-
349,SPRY,"ARS Pharmaceuticals, Inc.",863.97M,-,570948,1.35M
350,SLP,"Simulations Plus, Inc.",856.39M,-0.37%,85402,62.11M
351,EXAI,Exscientia plc,847.09M,-1.92%,875485,29.47M
352,AORT,"Artivion, Inc.",823.68M,0.55%,202711,354.00M
